intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,q11a,s_index,serrflag,sprobfld,id
7776,1,1,2019,06,08,008801,0590213,1,1,36,01,1206,1,NYJN1206.pdf,00132739.tif,ORIGINAL,330,0088,9996,9996,610,6,9996,0,1,2,1,0,,2019-008801
7776,1,1,2019,06,08,008801,0590213,1,1,36,01,1206,1,NYJN1206.pdf,00132739.tif,ORIGINAL,330,0088,9996,9996,640,6,9996,0,2,2,2,0,,2019-008801
7784,1,1,2019,06,26,030702,8100002,0,0,51,02,2201,1,VAJN2201.pdf,00134222.tif,ORIGINAL,1050,0307,9996,9996,412,2,9996,0,2,2,169,0,,2019-030702
6936,5,1,2019,06,20,019802,0471493,0,0,24,02,2103,1,MDJN2103.pdf,00133375.tif,ORIGINAL,1050,0198,9996,9996,512,2,9996,0,1,3,37,0,,2019-019802
7686,1,1,2019,06,02,004104,8100002,0,0,51,04,1108,1,VAJN1108.pdf,00132503.tif,ORIGINAL,1050,0041,9996,9996,563,2,9996,2,6,3,111,0,,2019-004104
7652,7,3,2019,06,23,026806,0010025,0,0,51,06,1123,1,VAJN1123.pdf,00133927.tif,ORIGINAL,1050,0268,9996,9996,583,2,9996,0,6,2,91,0,,2019-026806
7784,1,1,2019,06,26,030702,8100002,0,0,51,02,2201,1,VAJN2201.pdf,00134222.tif,ORIGINAL,1050,0307,9996,9996,583,1,9996,0,1,2,168,0,,2019-030702
7509,2,1,2019,06,23,024203,0011724,0,1,34,03,1203,1,NJJN1203.pdf,00133605.tif,ORIGINAL,1050,0242,9996,9996,584,2,9996,0,5,2,55,0,,2019-024203
6936,5,1,2019,06,17,013704,0471493,0,0,24,04,2101,1,MDJN2101.pdf,00133070.tif,ORIGINAL,1050,0137,9996,9996,609,2,9996,0,1,3,29,0,,2019-013704
7784,1,1,2019,06,26,030702,8100002,0,0,51,02,2201,1,VAJN2201.pdf,00134222.tif,ORIGINAL,1050,0307,9996,9996,615,1,9996,0,3,2,170,0,,2019-030702
7784,3,1,2019,06,23,030312,8100088,0,0,51,12,1204,1,VAJN1204.pdf,00135843.tif,ORIGINAL,1050,0303,9996,9996,619,2,9996,0,3,2,165,0,,2019-030312
7686,1,1,2019,06,02,004106,8100002,0,0,51,06,1108,1,VAJN1108.pdf,00132507.tif,ORIGINAL,1050,0041,9996,9996,625,2,9996,0,5,3,121,0,,2019-004106
7652,7,3,2019,06,23,026806,0010025,0,0,51,06,1123,1,VAJN1123.pdf,00133927.tif,ORIGINAL,1050,0268,9996,9996,626,1,9996,0,8,2,93,0,,2019-026806
7681,2,1,2019,06,18,014804,0051599,0,1,10,04,2102,1,DEJN2102.pdf,00133350.tif,ORIGINAL,1050,0148,9996,9996,632,2,9996,0,7,3,16,0,,2019-014804
7509,2,1,2019,06,23,024203,0011724,0,1,34,03,1203,1,NJJN1203.pdf,00133605.tif,ORIGINAL,1050,0242,9996,9996,635,2,9996,0,7,2,57,0,,2019-024203
6936,5,1,2019,06,17,013704,0471493,0,0,24,04,2101,1,MDJN2101.pdf,00133070.tif,ORIGINAL,1050,0137,9996,9996,636,2,9996,0,2,3,30,0,,2019-013704
7784,1,1,2019,06,07,011402,8100002,0,0,51,02,2119,1,VAJN2119.pdf,00132844.tif,ORIGINAL,1050,0114,9996,9996,643,2,9996,2,5,3,149,0,,2019-011402
7784,1,1,2019,06,07,011403,8100002,0,0,51,03,2119,1,VAJN2119.pdf,00132846.tif,ORIGINAL,1050,0114,9996,9996,646,1,9996,0,1,3,151,0,,2019-011403
6936,5,1,2019,06,12,010801,0471493,0,0,24,01,2204,1,MDJN2204.pdf,00132819.tif,ORIGINAL,1050,0108,9996,9996,656,2,9996,0,9,3,25,0,,2019-010801
6936,5,1,2019,06,20,019804,0471493,0,0,24,04,2103,1,MDJN2103.pdf,00133379.tif,ORIGINAL,1050,0198,9996,9996,659,2,9996,0,2,3,38,0,,2019-019804
7784,3,1,2019,06,23,030312,8100088,0,0,51,12,1204,1,VAJN1204.pdf,00135843.tif,ORIGINAL,1050,0303,9996,9996,673,2,9996,0,4,2,166,0,,2019-030312
7652,7,3,2019,06,23,026806,0010025,0,0,51,06,1123,1,VAJN1123.pdf,00133927.tif,ORIGINAL,1050,0268,9996,9996,686,2,9996,0,7,2,92,0,,2019-026806
6783,8,3,2019,06,29,033404,0010039,1,1,51,04,1104,1,VAJN1104.pdf,00134351.tif,ORIGINAL,1050,0334,9996,9996,688,2,9996,0,1,2,84,0,,2019-033404
7784,1,1,2019,06,26,030703,8100091,0,1,51,03,2201,1,VAJN2201.pdf,00134224.tif,ORIGINAL,1050,0307,9996,9996,698,2,9996,0,1,2,171,0,,2019-030703
6936,5,1,2019,06,17,013704,0471493,0,0,24,04,2101,1,MDJN2101.pdf,00133070.tif,ORIGINAL,1050,0137,9996,9996,702,2,9996,0,3,3,31,0,,2019-013704
7686,1,1,2019,06,02,004101,8100091,0,0,51,01,1108,1,VAJN1108.pdf,00132497.tif,ORIGINAL,1050,0041,9996,9996,702,2,9996,0,5,2,100,0,,2019-004101
6783,8,3,2019,06,22,026402,0010039,0,1,51,02,1115,1,VAJN1115.pdf,00133866.tif,ORIGINAL,1050,0264,9996,9996,704,2,9996,0,2,2,80,0,,2019-026402
7784,1,1,2019,06,07,011402,8100002,0,0,51,02,2119,1,VAJN2119.pdf,00132844.tif,ORIGINAL,1050,0114,9996,9996,704,1,9996,0,3,3,147,0,,2019-011402
7784,1,1,2019,06,07,011402,8100002,0,0,51,02,2119,1,VAJN2119.pdf,00132844.tif,ORIGINAL,1050,0114,9996,9996,709,1,9996,2,4,3,148,0,,2019-011402
7784,3,1,2019,06,23,030312,8100088,0,0,51,12,1204,1,VAJN1204.pdf,00135843.tif,ORIGINAL,1050,0303,9996,9996,713,2,9996,0,5,2,167,0,,2019-030312
6936,5,1,2019,06,20,019804,0471493,0,0,24,04,2103,1,MDJN2103.pdf,00133379.tif,ORIGINAL,1050,0198,9996,9996,727,2,9996,0,4,3,40,0,,2019-019804
7784,1,1,2019,06,15,014405,8100002,0,0,51,05,1117,1,VAJN1117.pdf,00133117.tif,ORIGINAL,1050,0144,9996,9996,730,1,9996,0,2,2,160,0,,2019-014405
6633,1,1,2019,06,01,001801,8100091,0,1,51,01,1201,1,VAJN1201.pdf,00132376.tif,ORIGINAL,1050,0018,9996,9996,731,2,9996,0,1,3,59,0,,2019-001801
7784,1,1,2019,06,15,014401,8100002,0,0,51,01,1117,1,VAJN1117.pdf,00133109.tif,ORIGINAL,1050,0144,9996,9996,732,2,9996,2,2,3,156,0,,2019-014401
6936,5,1,2019,06,19,017602,0471493,0,0,24,02,2202,1,MDJN2202.pdf,00133265.tif,ORIGINAL,1050,0176,9996,9996,736,2,9996,0,4,3,34,0,,2019-017602
7509,2,1,2019,06,23,024203,0011724,0,1,34,03,1203,1,NJJN1203.pdf,00133605.tif,ORIGINAL,1050,0242,9996,9996,737,2,9996,0,4,2,54,0,,2019-024203
7508,11,1,2019,06,22,024101,0091131,0,0,34,01,1114,1,NJJN1114.pdf,00133596.tif,ORIGINAL,1050,0241,9996,9996,742,1,9996,0,2,2,52,0,,2019-024101
7784,1,1,2019,06,15,014405,8100002,0,0,51,05,1117,1,VAJN1117.pdf,00133117.tif,ORIGINAL,1050,0144,9996,9996,742,2,9996,0,1,2,159,0,,2019-014405
6633,1,1,2019,06,01,001802,8100002,0,0,51,02,1201,1,VAJN1201.pdf,00132378.tif,ORIGINAL,1050,0018,9996,9996,748,2,9996,0,3,3,66,0,,2019-001802
7686,1,1,2019,06,02,004103,8100002,0,0,51,03,1108,1,VAJN1108.pdf,00132501.tif,ORIGINAL,1050,0041,9996,9996,748,1,9996,0,5,2,105,0,,2019-004103
6936,5,1,2019,06,07,007706,0471493,0,0,24,06,2102,1,MDJN2102.pdf,00132635.tif,ORIGINAL,1050,0077,9996,9996,749,2,9996,0,5,3,20,0,,2019-007706
6936,5,1,2019,06,15,012402,0471493,1,0,24,02,1111,1,MDJN1111.pdf,00132932.tif,ORIGINAL,1050,0124,9996,9996,751,2,9996,0,1,2,27,0,,2019-012402
7686,1,1,2019,06,02,004106,8100002,0,0,51,06,1108,1,VAJN1108.pdf,00132507.tif,ORIGINAL,1050,0041,9996,9996,752,2,9996,0,9,3,125,0,,2019-004106
7652,7,3,2019,06,23,026806,0010025,0,0,51,06,1123,1,VAJN1123.pdf,00133927.tif,ORIGINAL,1050,0268,9996,9996,755,2,9996,0,4,2,89,0,,2019-026806
7686,1,1,2019,06,02,004103,8100002,0,0,51,03,1108,1,VAJN1108.pdf,00132501.tif,ORIGINAL,1050,0041,9996,9996,756,2,9996,0,1,2,101,0,,2019-004103
7686,1,1,2019,06,02,004103,8100002,0,0,51,03,1108,1,VAJN1108.pdf,00132501.tif,ORIGINAL,1050,0041,9996,9996,756,1,9996,0,4,2,104,0,,2019-004103
7688,3,1,2019,06,20,027501,8100088,0,1,51,01,2116,1,VAJN2116.pdf,00133982.tif,ORIGINAL,1050,0275,9996,9996,757,1,9996,0,4,3,140,0,,2019-027501
7681,2,1,2019,06,18,014802,0051599,0,1,10,02,2102,1,DEJN2102.pdf,00133346.tif,ORIGINAL,1050,0148,9996,9996,758,2,9996,0,5,2,15,0,,2019-014802
7686,1,1,2019,06,02,004105,8100002,0,0,51,05,1108,1,VAJN1108.pdf,00132505.tif,ORIGINAL,1050,0041,9996,9996,760,2,9996,0,3,2,115,0,,2019-004105
6936,5,1,2019,06,20,019804,0471493,0,0,24,04,2103,1,MDJN2103.pdf,00133379.tif,ORIGINAL,1050,0198,9996,9996,762,2,9996,0,3,3,39,0,,2019-019804
6936,5,1,2019,06,23,023501,0471493,0,0,24,01,1117,1,MDJN1117.pdf,00133553.tif,ORIGINAL,1050,0235,9996,9996,762,2,9996,0,2,3,44,0,,2019-023501
7686,2,1,2019,06,15,013604,8100265,0,1,51,04,1125,1,VAJN1125.pdf,00133058.tif,ORIGINAL,1050,0136,9996,9996,762,2,9996,0,1,2,130,0,,2019-013604
7784,1,1,2019,06,07,011403,8100002,0,0,51,03,2119,1,VAJN2119.pdf,00132846.tif,ORIGINAL,1050,0114,9996,9996,762,1,9996,0,2,3,152,0,,2019-011403
6936,5,1,2019,06,15,012406,0471493,0,0,24,06,1111,1,MDJN1111.pdf,00132940.tif,ORIGINAL,1050,0124,9996,9996,763,2,9996,0,3,3,28,0,,2019-012406
7652,7,3,2019,06,23,026806,0010025,0,0,51,06,1123,1,VAJN1123.pdf,00133927.tif,ORIGINAL,1050,0268,9996,9996,764,2,9996,0,3,2,88,0,,2019-026806
7652,7,3,2019,06,23,026806,0010025,0,0,51,06,1123,1,VAJN1123.pdf,00133927.tif,ORIGINAL,1050,0268,9996,9996,764,2,9996,0,10,2,95,0,,2019-026806
7784,1,1,2019,06,26,030703,8100091,0,1,51,03,2201,1,VAJN2201.pdf,00134224.tif,ORIGINAL,1050,0307,9996,9996,765,2,9996,0,2,2,172,0,,2019-030703
7696,1,1,2019,06,20,027406,8100002,0,0,51,06,2115,1,VAJN2115.pdf,00133978.tif,ORIGINAL,1050,0274,9996,9996,766,2,9996,0,2,2,143,0,,2019-027406
6783,2,1,2019,06,07,005705,0051599,0,0,10,05,2101,1,DEJN2101.pdf,00132569.tif,ORIGINAL,1050,0057,9996,9996,769,2,9996,0,5,2,11,0,,2019-005705
7686,1,1,2019,06,02,004101,8100091,0,0,51,01,1108,1,VAJN1108.pdf,00132497.tif,ORIGINAL,1050,0041,9996,9996,769,2,9996,0,4,2,99,0,,2019-004101
7686,1,1,2019,06,02,004106,8100002,0,0,51,06,1108,1,VAJN1108.pdf,00132507.tif,ORIGINAL,1050,0041,9996,9996,772,2,9996,0,4,3,120,0,,2019-004106
7784,1,1,2019,06,18,018802,8100002,0,1,51,02,2113,1,VAJN2113.pdf,00133324.tif,ORIGINAL,1050,0188,9996,9996,773,2,9996,0,6,3,162,0,,2019-018802
6783,2,1,2019,06,07,005702,0051599,0,0,10,02,2101,1,DEJN2101.pdf,00132563.tif,ORIGINAL,1050,0057,9996,9996,777,2,9996,0,1,3,3,0,,2019-005702
6783,2,1,2019,06,07,005702,0051599,0,0,10,02,2101,1,DEJN2101.pdf,00132563.tif,ORIGINAL,1050,0057,9996,9996,780,2,9996,0,2,3,4,0,,2019-005702
6783,2,1,2019,06,07,005704,0051599,0,1,10,04,2101,1,DEJN2101.pdf,00132567.tif,ORIGINAL,1050,0057,9996,9996,780,1,9996,0,5,2,7,0,,2019-005704
7784,1,1,2019,06,07,011403,8100002,0,0,51,03,2119,1,VAJN2119.pdf,00132846.tif,ORIGINAL,1050,0114,9996,9996,780,2,9996,0,3,3,153,0,,2019-011403
7784,1,1,2019,06,18,018802,8100002,0,1,51,02,2113,1,VAJN2113.pdf,00133324.tif,ORIGINAL,1050,0188,9996,9996,780,2,9996,0,5,3,161,0,,2019-018802
7784,3,1,2019,06,23,030312,8100088,0,0,51,12,1204,1,VAJN1204.pdf,00135843.tif,ORIGINAL,1050,0303,9996,9996,781,1,9996,0,1,2,163,0,,2019-030312
6936,5,1,2019,06,12,010801,0471493,0,0,24,01,2204,1,MDJN2204.pdf,00132819.tif,ORIGINAL,1050,0108,9996,9996,783,2,9996,0,8,3,24,0,,2019-010801
6936,5,1,2019,06,23,023506,0471493,0,0,24,06,1117,1,MDJN1117.pdf,00133562.tif,ORIGINAL,1050,0235,9996,9996,783,2,9996,0,1,2,45,0,,2019-023506
7686,1,1,2019,06,02,004106,8100002,0,0,51,06,1108,1,VAJN1108.pdf,00132507.tif,ORIGINAL,1050,0041,9996,9996,783,1,9996,0,7,3,123,0,,2019-004106
7784,1,1,2019,06,07,011401,8100091,0,0,51,01,2119,1,VAJN2119.pdf,00132842.tif,ORIGINAL,1050,0114,9996,9996,784,1,9996,0,1,2,144,0,,2019-011401
6783,8,3,2019,06,29,033402,0010039,0,0,51,02,1104,1,VAJN1104.pdf,00134348.tif,ORIGINAL,1050,0334,9996,9996,786,2,9996,0,2,2,83,0,,2019-033402
7652,7,3,2019,06,23,026806,0010025,0,0,51,06,1123,1,VAJN1123.pdf,00133927.tif,ORIGINAL,1050,0268,9996,9996,787,2,9996,0,5,2,90,0,,2019-026806
6633,1,1,2019,06,01,001802,8100002,0,0,51,02,1201,1,VAJN1201.pdf,00132378.tif,ORIGINAL,1050,0018,9996,9996,789,2,9996,0,8,3,71,0,,2019-001802
7784,1,1,2019,06,15,014403,8100002,0,0,51,03,1117,1,VAJN1117.pdf,00133113.tif,ORIGINAL,1050,0144,9996,9996,790,2,9996,0,1,3,157,0,,2019-014403
7688,3,1,2019,06,20,027501,8100088,0,1,51,01,2116,1,VAJN2116.pdf,00133982.tif,ORIGINAL,1050,0275,9996,9996,792,1,9996,0,3,3,139,0,,2019-027501
7652,7,3,2019,06,23,026806,0010025,0,0,51,06,1123,1,VAJN1123.pdf,00133927.tif,ORIGINAL,1050,0268,9996,9996,793,2,9996,0,9,2,94,0,,2019-026806
7686,1,1,2019,06,02,004103,8100002,0,0,51,03,1108,1,VAJN1108.pdf,00132501.tif,ORIGINAL,1050,0041,9996,9996,793,2,9996,0,2,2,102,0,,2019-004103
6936,5,1,2019,06,19,017602,0471493,0,0,24,02,2202,1,MDJN2202.pdf,00133265.tif,ORIGINAL,1050,0176,9996,9996,794,2,9996,0,3,3,33,0,,2019-017602
7686,1,1,2019,06,02,004106,8100002,0,0,51,06,1108,1,VAJN1108.pdf,00132507.tif,ORIGINAL,1050,0041,9996,9996,794,1,9996,0,6,3,122,0,,2019-004106
6783,2,1,2019,06,07,005705,0051599,0,0,10,05,2101,1,DEJN2101.pdf,00132569.tif,ORIGINAL,1050,0057,9996,9996,795,2,9996,0,6,2,12,0,,2019-005705
6633,1,1,2019,06,01,001802,8100002,0,0,51,02,1201,1,VAJN1201.pdf,00132378.tif,ORIGINAL,1050,0018,9996,9996,796,2,9996,0,9,3,72,0,,2019-001802
7686,2,1,2019,06,15,013603,8100265,0,0,51,03,1125,1,VAJN1125.pdf,00133056.tif,ORIGINAL,1050,0136,9996,9996,797,2,9996,0,1,2,128,0,,2019-013603
7686,1,1,2019,06,02,004105,8100002,0,0,51,05,1108,1,VAJN1108.pdf,00132505.tif,ORIGINAL,1050,0041,9996,9996,802,1,9996,0,4,2,116,0,,2019-004105
6936,5,1,2019,06,07,007706,0471493,0,0,24,06,2102,1,MDJN2102.pdf,00132635.tif,ORIGINAL,1050,0077,9996,9996,804,2,9996,0,2,3,17,0,,2019-007706
6936,5,1,2019,06,12,010801,0471493,0,0,24,01,2204,1,MDJN2204.pdf,00132819.tif,ORIGINAL,1050,0108,9996,9996,804,2,9996,0,6,3,22,0,,2019-010801
7686,1,1,2019,06,02,004104,8100002,0,0,51,04,1108,1,VAJN1108.pdf,00132503.tif,ORIGINAL,1050,0041,9996,9996,811,2,9996,2,5,3,110,0,,2019-004104
6783,2,1,2019,06,07,005705,0051599,0,0,10,05,2101,1,DEJN2101.pdf,00132569.tif,ORIGINAL,1050,0057,9996,9996,812,1,9996,0,3,2,9,0,,2019-005705
7686,1,1,2019,06,24,027301,8100002,0,0,51,01,2107,1,VAJN2107.pdf,00133962.tif,ORIGINAL,1050,0273,9996,9996,812,2,9996,0,1,3,136,0,,2019-027301
7784,3,1,2019,06,23,030312,8100088,0,0,51,12,1204,1,VAJN1204.pdf,00135843.tif,ORIGINAL,1050,0303,9996,9996,812,2,9996,0,2,2,164,0,,2019-030312
7686,2,1,2019,06,15,013604,8100265,0,1,51,04,1125,1,VAJN1125.pdf,00133058.tif,ORIGINAL,1050,0136,9996,9996,814,2,9996,0,2,2,131,0,,2019-013604
6936,5,1,2019,06,23,023501,0471493,0,0,24,01,1117,1,MDJN1117.pdf,00133553.tif,ORIGINAL,1050,0235,9996,9996,817,1,9996,0,1,3,43,0,,2019-023501
6936,5,1,2019,06,17,013704,0471493,0,0,24,04,2101,1,MDJN2101.pdf,00133070.tif,ORIGINAL,1050,0137,9996,9996,818,2,9996,0,4,3,32,0,,2019-013704
7686,1,1,2019,06,02,004106,8100002,0,0,51,06,1108,1,VAJN1108.pdf,00132507.tif,ORIGINAL,1050,0041,9996,9996,820,2,9996,2,8,3,124,0,,2019-004106
7686,2,1,2019,06,15,013602,8100265,0,0,51,02,1125,1,VAJN1125.pdf,00133054.tif,ORIGINAL,1050,0136,9996,9996,821,2,9996,0,6,2,127,0,,2019-013602
6783,2,1,2019,06,07,005704,0051599,0,1,10,04,2101,1,DEJN2101.pdf,00132567.tif,ORIGINAL,1050,0057,9996,9996,822,2,9996,0,3,2,6,0,,2019-005704
6633,1,1,2019,06,14,013401,8100002,0,1,51,01,2208,1,VAJN2208.pdf,00133013.tif,ORIGINAL,1050,0134,9996,9996,824,2,9996,0,7,3,75,0,,2019-013401
6633,1,1,2019,06,01,001802,8100002,0,0,51,02,1201,1,VAJN1201.pdf,00132378.tif,ORIGINAL,1050,0018,9996,9996,825,1,9996,0,6,3,69,0,,2019-001802
7686,1,1,2019,06,02,004104,8100002,0,0,51,04,1108,1,VAJN1108.pdf,00132503.tif,ORIGINAL,1050,0041,9996,9996,825,2,9996,0,1,3,106,0,,2019-004104
7784,1,1,2019,06,15,014401,8100002,0,0,51,01,1117,1,VAJN1117.pdf,00133109.tif,ORIGINAL,1050,0144,9996,9996,825,2,9996,2,1,3,155,0,,2019-014401
6936,5,1,2019,06,19,017604,0471493,0,0,24,04,2202,1,MDJN2202.pdf,00133269.tif,ORIGINAL,1050,0176,9996,9996,827,1,9996,0,4,3,35,0,,2019-017604
6633,1,1,2019,06,01,001802,8100002,0,0,51,02,1201,1,VAJN1201.pdf,00132378.tif,ORIGINAL,1050,0018,9996,9996,827,1,9996,0,4,3,67,0,,2019-001802
7688,1,1,2019,06,22,027001,8100091,0,0,51,01,1205,1,VAJN1205.pdf,00133946.tif,ORIGINAL,1050,0270,9996,9996,827,1,9996,0,1,3,137,0,,2019-027001
7784,1,1,2019,06,15,014403,8100002,0,0,51,03,1117,1,VAJN1117.pdf,00133113.tif,ORIGINAL,1050,0144,9996,9996,830,1,9996,0,2,3,158,0,,2019-014403
6936,5,1,2019,06,22,023403,0471493,0,0,24,03,1116,1,MDJN1116.pdf,00133541.tif,ORIGINAL,1050,0234,9996,9996,831,1,9996,0,1,3,41,0,,2019-023403
7696,1,1,2019,06,16,013101,8100002,0,0,51,01,1102,1,VAJN1102.pdf,00133030.tif,ORIGINAL,1050,0131,9996,9996,832,2,9996,0,2,3,141,0,,2019-013101
7784,1,1,2019,06,26,030703,8100091,0,1,51,03,2201,1,VAJN2201.pdf,00134224.tif,ORIGINAL,1050,0307,9996,9996,832,2,9996,0,3,2,173,0,,2019-030703
6633,1,1,2019,06,01,001801,8100091,0,1,51,01,1201,1,VAJN1201.pdf,00132376.tif,ORIGINAL,1050,0018,9996,9996,833,2,9996,0,2,3,60,0,,2019-001801
7784,1,1,2019,06,07,011402,8100002,0,0,51,02,2119,1,VAJN2119.pdf,00132844.tif,ORIGINAL,1050,0114,9996,9996,833,2,9996,0,2,3,146,0,,2019-011402
7686,1,1,2019,06,02,004106,8100002,0,0,51,06,1108,1,VAJN1108.pdf,00132507.tif,ORIGINAL,1050,0041,9996,9996,835,1,9996,2,1,3,117,0,,2019-004106
6633,1,1,2019,06,01,001802,8100002,0,0,51,02,1201,1,VAJN1201.pdf,00132378.tif,ORIGINAL,1050,0018,9996,9996,837,2,9996,0,1,3,64,0,,2019-001802
6783,8,1,2019,06,23,026707,0010039,0,0,51,07,1120,1,VAJN1120.pdf,00133906.tif,ORIGINAL,1050,0267,9996,9996,838,2,9996,0,2,2,81,0,,2019-026707
7681,2,1,2019,06,17,013901,0470024,0,1,24,01,2212,1,MDJN2212.pdf,00133076.tif,ORIGINAL,1050,0139,9996,9996,842,2,9996,0,6,3,47,0,,2019-013901
7686,1,1,2019,06,02,004104,8100002,0,0,51,04,1108,1,VAJN1108.pdf,00132503.tif,ORIGINAL,1050,0041,9996,9996,842,2,9996,0,4,3,109,0,,2019-004104
7686,1,1,2019,06,02,004103,8100002,0,0,51,03,1108,1,VAJN1108.pdf,00132501.tif,ORIGINAL,1050,0041,9996,9996,844,2,9996,0,3,2,103,0,,2019-004103
7686,1,1,2019,06,02,004106,8100002,0,0,51,06,1108,1,VAJN1108.pdf,00132507.tif,ORIGINAL,1050,0041,9996,9996,844,1,9996,0,10,3,126,0,,2019-004106
7686,2,1,2019,06,15,013603,8100265,0,0,51,03,1125,1,VAJN1125.pdf,00133056.tif,ORIGINAL,1050,0136,9996,9996,844,1,9996,0,2,2,129,0,,2019-013603
7652,8,3,2019,06,15,013312,0010039,0,0,51,12,1122,1,VAJN1122.pdf,00133005.tif,ORIGINAL,1050,0133,9996,9996,845,1,9996,0,1,2,85,0,,2019-013312
7784,1,1,2019,06,07,011403,8100002,0,0,51,03,2119,1,VAJN2119.pdf,00132846.tif,ORIGINAL,1050,0114,9996,9996,845,2,9996,0,4,3,154,0,,2019-011403
6936,5,1,2019,06,22,023403,0471493,0,0,24,03,1116,1,MDJN1116.pdf,00133541.tif,ORIGINAL,1050,0234,9996,9996,847,2,9996,0,2,3,42,0,,2019-023403
6633,1,1,2019,06,14,013401,8100002,0,1,51,01,2208,1,VAJN2208.pdf,00133013.tif,ORIGINAL,1050,0134,9996,9996,848,1,9996,0,1,3,74,0,,2019-013401
7686,1,1,2019,06,02,004104,8100002,0,0,51,04,1108,1,VAJN1108.pdf,00132503.tif,ORIGINAL,1050,0041,9996,9996,848,1,9996,0,2,3,107,0,,2019-004104
7688,1,1,2019,06,22,027001,8100091,0,0,51,01,1205,1,VAJN1205.pdf,00133946.tif,ORIGINAL,1050,0270,9996,9996,848,1,9996,0,2,3,138,0,,2019-027001
6633,1,1,2019,06,01,001802,8100002,0,0,51,02,1201,1,VAJN1201.pdf,00132378.tif,ORIGINAL,1050,0018,9996,9996,849,2,9996,0,5,3,68,0,,2019-001802
6783,2,1,2019,06,20,019402,0051599,0,0,10,02,2206,1,DEJN2206.pdf,00133361.tif,ORIGINAL,1050,0194,9996,9996,851,1,9996,0,2,2,14,0,,2019-019402
6416,6,1,2019,06,23,029308,0251005,0,0,34,08,1205,1,NJJN1205.pdf,00134093.tif,ORIGINAL,1050,0293,9996,9996,853,2,9996,0,1,2,48,0,,2019-029308
7686,2,1,2019,06,15,013604,8100265,0,1,51,04,1125,1,VAJN1125.pdf,00133058.tif,ORIGINAL,1050,0136,9996,9996,853,1,9996,0,5,2,132,0,,2019-013604
6633,1,1,2019,06,01,001802,8100002,0,0,51,02,1201,1,VAJN1201.pdf,00132378.tif,ORIGINAL,1050,0018,9996,9996,854,2,9996,0,10,3,73,0,,2019-001802
6783,2,1,2019,06,07,005705,0051599,0,0,10,05,2101,1,DEJN2101.pdf,00132569.tif,ORIGINAL,1050,0057,9996,9996,860,2,9996,0,4,2,10,0,,2019-005705
6416,6,1,2019,06,23,029308,0251005,0,0,34,08,1205,1,NJJN1205.pdf,00134093.tif,ORIGINAL,1050,0293,9996,9996,861,2,9996,0,3,2,50,0,,2019-029308
6783,8,3,2019,06,22,026402,0010039,0,1,51,02,1115,1,VAJN1115.pdf,00133866.tif,ORIGINAL,1050,0264,9996,9996,861,2,9996,0,1,2,79,0,,2019-026402
6633,1,1,2019,06,01,001802,8100002,0,0,51,02,1201,1,VAJN1201.pdf,00132378.tif,ORIGINAL,1050,0018,9996,9996,864,1,9996,0,7,3,70,0,,2019-001802
6633,1,1,2019,06,01,001802,8100002,0,0,51,02,1201,1,VAJN1201.pdf,00132378.tif,ORIGINAL,1050,0018,9996,9996,865,1,9996,0,2,3,65,0,,2019-001802
7696,1,1,2019,06,16,013103,8100091,0,1,51,03,1102,1,VAJN1102.pdf,00133034.tif,ORIGINAL,1050,0131,9996,9996,866,1,9996,0,3,3,142,0,,2019-013103
6936,5,1,2019,06,07,007706,0471493,0,0,24,06,2102,1,MDJN2102.pdf,00132635.tif,ORIGINAL,1050,0077,9996,9996,867,2,9996,0,3,3,18,0,,2019-007706
6936,5,1,2019,06,12,010801,0471493,0,0,24,01,2204,1,MDJN2204.pdf,00132819.tif,ORIGINAL,1050,0108,9996,9996,869,2,9996,0,7,3,23,0,,2019-010801
7686,1,1,2019,06,02,004105,8100002,0,0,51,05,1108,1,VAJN1108.pdf,00132505.tif,ORIGINAL,1050,0041,9996,9996,869,1,9996,0,2,2,114,0,,2019-004105
7686,1,1,2019,06,02,004104,8100002,0,0,51,04,1108,1,VAJN1108.pdf,00132503.tif,ORIGINAL,1050,0041,9996,9996,870,1,9996,0,7,3,112,0,,2019-004104
7784,1,1,2019,06,07,011402,8100002,0,0,51,02,2119,1,VAJN2119.pdf,00132844.tif,ORIGINAL,1050,0114,9996,9996,874,2,9996,2,6,3,150,0,,2019-011402
7686,1,1,2019,06,02,004106,8100002,0,0,51,06,1108,1,VAJN1108.pdf,00132507.tif,ORIGINAL,1050,0041,9996,9996,882,2,9996,2,3,3,119,0,,2019-004106
7681,2,1,2019,06,17,013901,0470024,0,1,24,01,2212,1,MDJN2212.pdf,00133076.tif,ORIGINAL,1050,0139,9996,9996,883,2,9996,0,5,3,46,0,,2019-013901
7652,7,3,2019,06,23,026806,0010025,0,0,51,06,1123,1,VAJN1123.pdf,00133927.tif,ORIGINAL,1050,0268,9996,9996,886,1,9996,0,2,2,87,0,,2019-026806
6936,5,1,2019,06,19,017604,0471493,0,0,24,04,2202,1,MDJN2202.pdf,00133269.tif,ORIGINAL,1050,0176,9996,9996,889,2,9996,0,5,3,36,0,,2019-017604
